location,area,details,price,agent,agency,link,rooms,bathroom,parking
"Sunway Mont Residences, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,122 sq. ft.  •  Fully furnished","RM 1,050,000",Melissa Low,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/mont-kiara/sunway-mont-residences/ol-sale-104450547/,2+1,2,2
"Bennington Residences @ SkyArena, Setapak","Setapak, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,450 sq. ft.  •  Partly furnished","RM 680,000",Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/setapak/bennington-residences-sky-arena/ol-sale-104508731/,4,3,3
"Sunway Vivaldi, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Condominium | Duplex  •  Built-up : 3,983 sq. ft.  •  Partly furnished","RM 2,700,000",Melissa Low,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sunway-vivaldi/ol-sale-104450535/,4+1,5,3
"Sunway Vivaldi, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,573 sq. ft.","RM 2,200,000",Melissa Low,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sunway-vivaldi/ol-sale-104450532/,3+1,5,2
"The Reach @ Titiwangsa, Setapak","Setapak, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,440 sq. ft.  •  Fully furnished","RM 788,000",Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/setapak/the-reach-titiwangsa/ol-sale-104508695/,3,3,2
"Hampshire Place, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,399 sq. ft.  •  Partly furnished","RM 1,388,000",Steven K. Mohan,Jann Properties,https://www.iproperty.com.my/property/klcc/hampshire-place/sale-101326554/,2,2,1
"The Troika, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,080 sq. ft.  •  Fully furnished","RM 2,650,000",Daniel,Meridin Properties,https://www.iproperty.com.my/property/klcc/the-troika/sale-101398670/,3+1,4,2
"8 Kia Peng, KLCC","KLCC, Kuala Lumpur",Serviced Residence  •  Built-up : 731 sq. ft.,"RM 1,430,000",Francis Ngooi,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/8-kia-peng/ol-sale-104450440/,1+1,2,1
"Hampshire Residences, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,270 sq. ft.","RM 1,480,000",Merchel Liew,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/hampshire-residences/sale-103686370/,2,2,1
"KL Gateway Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 846 sq. ft.  •  Fully furnished,"RM 800,000",Christina Loke,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/kl-gateway-residences/sale-104398101/,2,2,1
"Pavilion, Damansara Heights","Damansara Heights, Kuala Lumpur","Serviced Residence  •  Built-up : 1,750 sq. ft.  •  Partly furnished","RM 3,226,282",Nicole How,Chester Properties Sdn Bhd (HQ),https://www.iproperty.com.my/property/damansara-heights/pavilion/sale-104163529/,3+1,3,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur",Condominium  •  Built-up : 836 sq. ft.,"RM 2,500,000",Megan Goh,Polygon Properties,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-104042189/,1,1,
"The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas","Dutamas, Kuala Lumpur","Serviced Residence  •  Built-up : 1,292 sq. ft.  •  Partly furnished","RM 1,277,700",Aylex Chia,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/dutamas/the-fiddlewoodz-kl-metropolis/ol-sale-104477188/,3,2,2
"M Astra, Setapak","Setapak, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.,"RM 389,000",Joyce Yap,Duxton Property Sdn Bhd,https://www.iproperty.com.my/property/setapak/m-astra/sale-104427174/,3,2,2
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur",Serviced Residence  •  Built-up : 933 sq. ft.  •  Partly furnished,"RM 930,000",Vvien Yap,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-jalil/the-park-2/sale-103574565/,3,2,1
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium  •  Built-up : 1,615 sq. ft.","RM 1,200,000",Steven Tan,Dutama Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-104426591/,4,3,3
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium  •  Built-up : 1,399 sq. ft.","RM 1,000,000",Steven Tan,Dutama Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-goodwood-residence/sale-104426623/,4,3,3
"Damai Suria, Ampang Hilir","Ampang Hilir, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 2,454 sq. ft.  •  Partly furnished","RM 1,550,000",David Lao,The Roof Realty - Puchong,https://www.iproperty.com.my/property/ampang-hilir/damai-suria/sale-103573326/,3,4,1
"Kiara View, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Semi-detached House | Corner lot  •  Built-up : 4,800 sq. ft.  •  Partly furnished","RM 4,000,000",Jeremy Tho,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/sri-hartamas/sale-102788239/,5+1,5,
"Midfields 2, Taman Sungai Besi, Sungai Besi","Sungai Besi, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,159 sq. ft.  •  Unfurnished","RM 480,000",Jerry Tan,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/sungai-besi/midfields-2/sale-102004622/,3,2,2
"Taman Bukit Maluri (Freehold), Bandar Menjalara, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished","RM 1,150,000",Chloe Cheong,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-104508050/,3,3,
"Bukit Damansara, Damansara Heights","Damansara Heights, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 7,000 sq. ft.  •  Partly furnished","RM 9,280,000",Amanda Chong,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/damansara-heights/sale-104472401/,5+2,5,4
"Fortune Centra, Kepong","Kepong, Kuala Lumpur",Serviced Residence  •  Built-up : 775 sq. ft.  •  Partly furnished,"RM 465,000",Charmaine Tan,Sinland Real Estate,https://www.iproperty.com.my/property/kepong/fortune-centra/sale-102860490/,2,2,1
"Sunway Montana, Taman Melawati, Setapak, Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 3,600 sq. ft.","RM 1,899,888",Eweng Poh,Vivahomes Realty - Kota Damansara,https://www.iproperty.com.my/property/taman-melawati/sale-103990882/,5,6,4
"St Regis, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence  •  Built-up : 1,738 sq. ft.  •  Partly furnished","RM 3,500,000",Evon Heng,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/st-regis/sale-104499636/,2+1,4,1
"Sunway Montana, Taman Melawati, Kuala Lumpur, Taman Melawati","Taman Melawati, Kuala Lumpur","Townhouse  •  Built-up : 2,750 sq. ft.","RM 1,648,888",Eweng Poh,Vivahomes Realty - Kota Damansara,https://www.iproperty.com.my/property/taman-melawati/sale-104086250/,3+1,4,4
"Vogue Suites One, KL Eco City","KL Eco City, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 989 sq. ft.  •  Fully furnished,"RM 1,100,000",Hycintha Sii,Ruma Realty,https://www.iproperty.com.my/property/kl-eco-city/vogue-suites-one/sale-100583315/,2,2,1
"Serai, Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 4,771 sq. ft.  •  Partly furnished","RM 7,900,000",TH Lee,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/serai/sale-103399515/,4+1,6,3
"The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas","Dutamas, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,292 sq. ft.  •  Partly furnished","RM 1,272,500",Vincent Chiam,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/dutamas/the-fiddlewoodz-kl-metropolis/sale-101899680/,3,3,2
"The Fiddlewoodz @ KL Metropolis, Solaris Dutamas, Dutamas","Dutamas, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,469 sq. ft.  •  Partly furnished","RM 1,431,600",Vincent Chiam,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/dutamas/the-fiddlewoodz-kl-metropolis/sale-101899695/,4,3,4
"Kiaraville, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 2,508 sq. ft.  •  Fully furnished","RM 1,500,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/kiaraville/sale-104000493/,4+1,5,3
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,200 sq. ft.  •  Fully furnished","RM 1,300,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/sale-103595964/,3,2,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,254 sq. ft.  •  Fully furnished","RM 4,200,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-104444824/,2,2,1
"Mont Kiara Pines, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,428 sq. ft.","RM 780,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/mont-kiara-pines/sale-104419967/,3,2,1
"The Oval, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Penthouse  •  Built-up : 7,793 sq. ft.  •  Fully furnished","RM 11,000,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-oval/sale-104376545/,5+2,7,3
"Mont Kiara Aman, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,648 sq. ft.","RM 1,850,000",David Lai,Fidelity Property Consultant Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/mont-kiara-aman/sale-104197218/,3,2,3
"Parc 3, Cheras","Cheras, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 686 sq. ft.  •  Fully furnished,"RM 668,000",Vickky Wong,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/cheras/parc-3/ol-sale-104507722/,2,2,1
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,537 sq. ft.  •  Fully furnished","RM 1,450,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/south-brooks/sale-104476477/,3+1,3,3
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,668 sq. ft.  •  Fully furnished","RM 3,200,000",Patriciar Tham,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/banyan-tree-signatures/sale-102756626/,3,3,2
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,076 sq. ft.  •  Fully furnished","RM 1,980,000",Patriciar Tham,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/banyan-tree-signatures/sale-103412838/,2,2,1
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,076 sq. ft.  •  Fully furnished","RM 1,900,000",Patriciar Tham,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/banyan-tree-signatures/sale-103559206/,2,2,1
"Quadro Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,927 sq. ft.  •  Fully furnished","RM 2,250,000",Patriciar Tham,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/quadro-residences/sale-103501471/,3+2,5,2
"The Troika, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,280 sq. ft.  •  Fully furnished","RM 1,980,000",Patriciar Tham,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-troika/sale-104052918/,3,4,4
"Vipod Residence, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,399 sq. ft.  •  Fully furnished","RM 1,650,000",Patriciar Tham,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/vipod-residence/sale-101876171/,3,2,1
"Mansions, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3.5-sty Terrace/Link House  •  Built-up : 6,526 sq. ft.","RM 6,450,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-103308022/,5+2,6,3
"Kiara Hills, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Bungalow  •  Built-up : 7,320 sq. ft.  •  Partly furnished","RM 7,000,000",Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sale-102058068/,5+2,7,6
"ttdi, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 5,058 sq. ft.  •  Partly furnished","RM 6,800,000",Jess Chong,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-103192329/,5+1,8,4
"Kiara Hills, Mont Kiara","Mont Kiara, Kuala Lumpur","Bungalow  •  Built-up : 7,477 sq. ft.  •  Partly furnished","RM 7,200,000",Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/mont-kiara/sale-102057807/,6,7,5
"KIARA HILLS, Sri Hartamas","Sri Hartamas, Kuala Lumpur","Bungalow  •  Built-up : 7,400 sq. ft.  •  Unfurnished","RM 6,500,000",Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/sri-hartamas/sale-102558338/,6+1,7,6
"The Plaza Condominium @ TTDI, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Condominium  •  Built-up : 1,800 sq. ft.  •  Partly furnished","RM 1,500,000",Karen Leong,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/the-plaza-condominium-ttdi/sale-104005043/,3+1,4,2
"The Sky Residence, Cheras","Cheras, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 830 sq. ft.  •  Unfurnished,"RM 520,000",Cony Tan,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/the-sky-residence/sale-101927686/,3,2,1
"Casaman, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 5,448 sq. ft.  •  Partly furnished","RM 5,500,000",Kent Chua,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104241452/,5+1,6,4
"The Oval, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 3,897 sq. ft.  •  Partly furnished","RM 5,082,480",Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-oval/sale-104426436/,3+1,4,2
"The Sentral Residences, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence | Penthouse  •  Built-up : 3,143 sq. ft.  •  Fully furnished","RM 4,800,000",Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/the-sentral-residences/sale-101459664/,4+1,6,4
"The Oval, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 3,897 sq. ft.  •  Partly furnished","RM 5,347,968",Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-oval/sale-101459632/,3+1,4,2
"East Parc @ Manjalara, Bandar Menjalara","Bandar Menjalara, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,522 sq. ft.  •  Partly furnished","RM 1,000,000",Mark Lee,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/bandar-menjalara/east-parc-manjalara/sale-104318720/,4,3,3
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,519 sq. ft.  •  Partly furnished","RM 1,480,000",Elaine Gan,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/bukit-jalil/the-park-2/sale-102798653/,3+1,4,3
"Inspirasi, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,015 sq. ft.  •  Unfurnished","RM 800,000",Charles Phua,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/mont-kiara/inspirasi/sale-104465038/,3,2,2
"Residensi 22, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,973 sq. ft.","RM 2,850,000",Cindy Ng,STARLIGHT PROPERTY SDN BHD,https://www.iproperty.com.my/property/mont-kiara/residensi-22/sale-101831178/,4,5,3
"Kiara Residence 2 (Residensi Kiara Jalil 2), Bukit Jalil","Bukit Jalil, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,296 sq. ft.  •  Partly furnished","RM 600,000",Money Toh,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-jalil/kiara-residence-2-residensi-kiara-jalil-2/sale-101961177/,3+1,3,1
"The Reach @ Titiwangsa, Setapak","Setapak, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 2,685 sq. ft.  •  Fully furnished","RM 1,230,000",Billy Lai,POLYGON PROPERTIES SDN BHD,https://www.iproperty.com.my/property/setapak/the-reach-titiwangsa/sale-104353561/,4+1,6,3
"Sri petaling , Bandar baru Sri petaling, Sri Petaling","Sri Petaling, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 3,600 sq. ft.  •  Partly furnished","RM 1,200,000",Amber Lai,Tech Real Estate - Cheras,https://www.iproperty.com.my/property/sri-petaling/sale-104029733/,4,3,4
"Sri petaling , Zone F Bandar baru sri petaling, Sri Petaling","Sri Petaling, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished","RM 830,000",Amber Lai,Tech Real Estate - Cheras,https://www.iproperty.com.my/property/sri-petaling/sale-104105422/,5,3,2
"Breezeway, The Breezeway, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 3,211 sq. ft.","RM 3,200,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-103316199/,3+1,4,2
"Damai Jasa, Alam Damai, Cheras, Kuala Lumpur, Cheras","Cheras, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,650 sq. ft.  •  Partly furnished","RM 930,000",Rachel Lee,CHESTER PROPERTIES SDN BHD,https://www.iproperty.com.my/property/cheras/sale-104003920/,4,3,
"Taman Connaught Fully extended, Cheras","Cheras, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 3,200 sq. ft.","RM 1,115,000",Joly Liew,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/sale-103804471/,5,3,
"Stonor 3, KLCC","KLCC, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 871 sq. ft.  •  Fully furnished,"RM 1,088,888",Jeffrey Ng,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-3/sale-103730086/,2,2,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,163 sq. ft.  •  Fully furnished","RM 2,000,000",Terry Chai,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/ol-sale-104318995/,4+1,5,3
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,766 sq. ft.  •  Fully furnished","RM 2,400,000",Terry Chai,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/ol-sale-104319008/,4+1,5,3
"Majestic Maxim, Taman Len Seng, Cheras","Cheras, Kuala Lumpur",Serviced Residence  •  Built-up : 819 sq. ft.,"RM 468,000",Jackson Yong,Vestcom Realty,https://www.iproperty.com.my/property/cheras/majestic-maxim/sale-103921091/,3,2,2
"Modern Bungalow with Private Lift, Sri Petaling, Sri Petaling","Sri Petaling, Kuala Lumpur","Bungalow  •  Built-up : 6,000 sq. ft.  •  Partly furnished","RM 3,900,000",John Mok,Tech Real Estate - Cheras,https://www.iproperty.com.my/property/sri-petaling/sale-104507362/,7,7,5
"Modern Semi-D with Private Lift, Sri Petaling, Sri Petaling","Sri Petaling, Kuala Lumpur","Semi-detached House  •  Built-up : 6,500 sq. ft.  •  Partly furnished","RM 3,600,000",John Mok,Tech Real Estate - Cheras,https://www.iproperty.com.my/property/sri-petaling/sale-104507248/,7,7,5
"The Vyne, Taman Sungai Besi, Sungai Besi","Sungai Besi, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 904 sq. ft.  •  Partly furnished,"RM 536,000",Loy Chang,Propnex Realty Sdn. Bhd. - KL,https://www.iproperty.com.my/property/sungai-besi/the-vyne/sale-104426025/,3,2,2
"The Z Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,232 sq. ft.  •  Fully furnished","RM 700,000",Vincent Chua,Wereg Properties Sdn Bhd,https://www.iproperty.com.my/property/bukit-jalil/the-z-residence/sale-104070423/,3,2,2
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,098 sq. ft.  •  Fully furnished","RM 2,688,888",Jeffrey Ng,Dutama Properties,https://www.iproperty.com.my/property/klcc/four-seasons-place/sale-104020376/,2+1,2,2
"K Residence @ KLCC, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 2,600 sq. ft.  •  Fully furnished","RM 2,600,000",Jeffrey Ng,Dutama Properties,https://www.iproperty.com.my/property/klcc/k-residence-klcc/sale-103316423/,4,5,3
"Bukit Jalil Golf & Country Resort, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 6,000 sq. ft.  •  Partly furnished","RM 5,500,000",Marcus Liew,Simon Realty,https://www.iproperty.com.my/property/bukit-jalil/sale-101276708/,8,7,5
"28 Mont Kiara @ MK28, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 2,500,000",Melissa Low,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/mont-kiara/28-mont-kiara-mk-28/ol-sale-104449061/,4+2,5,3
"Seni Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,906 sq. ft.","RM 2,700,000",Nix Chin,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/seni-mont-kiara/sale-104507117/,4+3,6,3
"Taman Bukit Maluri Kepong Baru Bandar Menjalara 62, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 1,760 sq. ft.  •  Partly furnished","RM 1,070,000",Mandy Liew,VPG Realty,https://www.iproperty.com.my/property/kepong/sale-104272017/,5,3,3
"The Signature, Desa Sri Hartamas, Sri Hartamas","Sri Hartamas, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 435 sq. ft.  •  Fully furnished,"RM 500,000",Vince Tan,Kith and Kin Realty Sdn. Bhd.,https://www.iproperty.com.my/property/sri-hartamas/the-signature/sale-104449022/,1,1,1
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,830 sq. ft.  •  Partly furnished","RM 1,700,000",Cally Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/ol-sale-104310627/,4+1,4,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,496 sq. ft.  •  Unfurnished","RM 1,500,000",Cally Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/ol-sale-104246013/,3+1,4,2
"Taman Ehsan Kepong (2 Sty) Desa Jaya Kepong Baru, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,760 sq. ft.  •  Partly furnished","RM 650,000",Mandy Liew,VPG Realty,https://www.iproperty.com.my/property/kepong/sale-103724939/,4,3,3
"Verve Suites, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 426 sq. ft.  •  Fully furnished,"RM 525,000",Vince Tan,Kith and Kin Realty Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/verve-suites/sale-104448996/,Studio,1,1
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,367 sq. ft.","RM 1,480,000",Evon Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-104468526/,2+1,3,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,743 sq. ft.","RM 2,200,000",Evon Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-104475613/,3+1,4,2
"Hampshire Residences, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,400 sq. ft.  •  Fully furnished","RM 2,200,000",Alex Loo,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/hampshire-residences/sale-104197092/,3+1,4,2
"Hampshire Residences, Hampshire Park, KLCC","KLCC, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 753 sq. ft.  •  Fully furnished,"RM 725,000",Alex Loo,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/hampshire-residences/sale-100565227/,1,1,1
"Lake City, Taman Wahyu, Kepong","Kepong, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 567 sq. ft.  •  Partly furnished,"RM 310,000",Benjamin Lai,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/lake-city/sale-103779370/,1,2,
